"ID","IntDate","H4","G3_EDU","H1","AGE","A1","B8_1","A7_1","A10","A13_1","A13_2","A13_3","C8_1","C8_2","C8_3","C8_4","C8_5","C8_6","W5"
"27900174","2022-08-12",0,"Non-University","Female",87,2,4,1,3,NA,0,0,0,0,0,0,1,1,0
"27900183","2022-06-11",0,"University","Male",33,2,5,1,2,NA,0,0,0,0,0,0,0,0,0
"27900187","2022-08-12",0,"Non-University","Male",75,3,8,0,3,NA,0,0,0,1,0,0,1,0,1
"27900191","2022-06-07",0,"Non-University","Male",57,1,5,0,3,NA,0,0,0,0,0,0,0,0,0
"27900192","2022-06-11",0,"University","Female",52,3,0,0,3,NA,1,0,1,1,1,1,1,1,0
"27900194","2022-06-28",0,"Non-University","Male",67,3,8,1,3,NA,0,0,0,0,0,1,1,0,1
"27900197","2022-08-12",0,"University","Male",58,3,7,1,3,NA,0,0,1,1,0,1,1,1,0
"27900198","2022-05-26",0,"University","Male",86,2,3,1,3,NA,0,0,1,0,0,0,0,0,1
"27900204","2022-06-04",0,"Non-University","Male",46,2,7,1,3,NA,0,0,0,0,0,0,0,0,0
"27900210","2022-06-03",0,"Non-University","Male",41,2,7,1,3,NA,0,0,0,0,0,1,0,0,0
"27900212","2022-08-25",0,"University","Female",32,2,6,0,2,NA,0,0,0,1,0,1,1,1,1
"27900214","2022-06-05",0,"University","Female",41,2,2,0,3,NA,0,0,0,0,0,0,1,1,0
"27900221","2022-05-27",0,"University","Male",89,3,2,0,3,NA,0,0,1,1,0,1,1,1,0
"27900234","2022-08-12",0,"Non-University","Male",68,3,3,1,3,NA,0,0,0,0,0,0,0,0,0
"27900238","2022-05-31",0,"University","Female",63,3,3,0,3,1,1,0,1,0,1,1,1,1,1
"27900240","2022-08-12",0,"Non-University","Female",82,3,8,0,3,NA,0,0,0,0,0,0,0,0,0
"27900242","2022-05-28",0,"University","Female",66,3,3,0,3,NA,0,0,1,0,1,0,1,1,1
"27900257","2022-08-31",0,"University","Female",23,3,8,0,3,NA,0,0,1,1,0,0,0,0,1
"27900269","2022-06-02",0,"Non-University","Female",30,2,7,1,3,NA,1,0,1,0,0,0,0,1,0
"27900270","2022-07-23",0,"University","Female",32,2,6,0,3,1,0,0,0,0,0,1,1,1,NA
"27900271","2022-06-11",0,"Non-University","Female",89,2,2,1,3,NA,0,0,1,0,0,0,1,1,0
"27900272","2022-06-07",0,"University","Female",36,3,3,0,3,1,0,0,1,0,1,1,0,1,0
"27900273","2022-08-12",0,"Non-University","Female",64,2,999,1,3,NA,0,0,0,0,0,0,1,0,0
"27900274","2022-06-05",0,"University","Male",71,3,1,0,3,NA,1,0,0,0,1,1,1,1,0
"27900276","2022-08-12",0,"Non-University","Female",72,2,5,0,NA,NA,0,0,0,1,0,0,1,0,0
"27900279","2022-05-30",0,"Non-University","Male",50,2,4,0,3,NA,0,0,0,0,0,0,0,1,0
"27900280","2022-06-21",0,"University","Female",55,3,9,0,3,NA,0,0,1,0,0,0,0,0,1
"27900281","2022-06-01",0,"University","Female",50,2,1,1,3,NA,0,0,0,0,0,0,0,1,0
"27900285","2022-06-03",0,"Non-University","Female",65,3,5,1,3,NA,0,0,1,0,0,1,1,1,0
"27900288","2022-06-09",0,"University","Male",40,2,6,0,3,NA,0,0,0,0,0,0,1,1,0
"27900289","2022-06-17",0,"Non-University","Female",50,2,7,1,NA,NA,0,0,0,0,0,0,0,1,0
"27900300","2022-06-06",0,"University","Female",69,1,5,1,2,NA,0,0,0,0,0,0,0,0,0
"27900301","2022-05-31",0,"University","Male",73,3,4,0,3,NA,1,0,0,0,0,0,0,0,0
"27900305","2022-06-14",0,"University","Male",56,3,4,0,3,NA,0,0,1,0,0,1,1,1,0
"27900314","2022-06-14",0,"Non-University","Female",50,1,4,0,3,NA,0,0,0,0,1,0,NA,0,0
"27900315","2022-06-20",0,"University","Female",37,1,5,1,2,NA,0,0,NA,NA,NA,NA,NA,NA,0
"27900317","2022-06-02",0,"University","Female",36,3,0,1,3,NA,0,0,1,0,0,0,0,1,0
"27900320","2022-08-12",0,"University","Female",49,2,4,1,3,NA,0,0,0,0,0,0,0,0,0
"27900327","2022-06-07",0,"Non-University","Female",55,3,5,0,3,NA,0,0,0,0,0,0,0,0,0
"27900328","2022-06-06",0,"University","Female",39,2,4,1,3,NA,0,0,0,0,0,0,0,1,0
"27900330","2022-06-11",0,"University","Male",36,3,7,1,2,NA,0,0,0,0,0,0,0,0,0
"27900334","2022-08-12",0,"Non-University","Female",49,0,7,1,NA,NA,0,0,0,0,0,0,0,0,0
"27900336","2022-05-30",0,"Non-University","Female",76,2,9,0,3,NA,0,0,0,0,0,0,0,1,1
"27900339","2022-06-07",0,"Non-University","Female",60,3,5,0,2,NA,0,0,0,1,0,0,0,1,0
"27900341","2022-08-12",0,"University","Female",64,2,2,0,3,NA,0,0,1,0,1,1,1,1,0
"27900342","2022-08-12",0,"Non-University","Male",86,3,8,0,3,NA,0,0,0,0,0,0,1,0,1
"27900346","2022-09-30",0,"University","Female",52,1,2,0,3,NA,0,0,1,0,0,0,0,1,0
"27900352","2022-08-12",0,"Non-University","Female",72,2,8,0,2,NA,0,0,0,0,0,0,0,NA,0
"27900354","2022-06-04",0,"University","Female",65,1,5,1,1,NA,0,0,0,0,0,0,0,0,0
"27900355","2022-09-30",0,"Non-University","Male",60,2,5,0,2,NA,0,0,1,NA,NA,NA,NA,1,1
"27900359","2022-06-07",0,"Non-University","Male",77,3,8,1,3,NA,0,0,0,0,0,0,0,0,0
"27900362","2022-05-26",0,"University","Male",29,3,3,0,3,NA,0,0,1,0,1,0,0,1,0
"27900365","2022-06-09",0,"University","Female",60,2,5,1,3,NA,0,0,0,0,0,0,0,0,0
"27900367","2022-05-29",0,"Non-University","Female",74,1,6,0,3,NA,0,0,0,NA,0,0,1,1,1
"27900369","2022-07-20",0,"University","Female",66,2,5,0,3,NA,0,0,1,0,0,1,0,1,1
"27900371","2022-08-12",0,"University","Male",72,3,5,0,3,NA,0,0,0,0,0,1,0,0,1
"27900372","2022-05-29",0,"Non-University","Male",90,2,7,1,3,NA,0,0,0,0,0,0,0,0,0
"27900375","2022-06-24",0,"University","Male",74,2,8,0,1,NA,0,0,0,1,0,0,0,0,0
"27900377","2022-05-27",0,"University","Male",45,3,8,0,3,NA,0,1,0,0,0,1,0,0,1
"27900378","2022-07-13",0,"University","Female",50,2,5,0,3,NA,0,0,1,1,1,0,0,1,0
"27900379","2022-05-26",0,"Non-University","Female",56,3,7,0,2,1,0,0,1,1,0,1,0,1,1
"27900382","2022-05-29",0,"Non-University","Female",65,2,999,1,2,NA,0,0,0,0,0,0,1,0,0
"27900388","2022-05-27",0,"University","Male",76,3,5,0,3,NA,0,0,0,0,0,0,1,0,0
"27900389","2022-06-16",0,"Non-University","Female",69,2,5,0,3,NA,0,0,0,1,1,0,1,1,1
"27900390","2022-06-09",0,"Non-University","Male",58,3,5,1,3,NA,0,0,0,0,0,0,0,0,0
"27900392","2022-09-17",0,"University","Female",47,2,7,1,2,NA,0,0,0,0,0,0,0,0,1
"27900394","2022-05-29",0,"Non-University","Male",77,2,9,0,3,NA,0,0,0,0,0,0,1,0,0
"27900397","2022-05-30",0,"Non-University","Female",68,3,10,0,3,NA,1,0,1,1,0,0,1,1,0
"27900398","2022-06-06",0,"Non-University","Female",33,1,6,1,1,NA,0,0,0,0,0,0,0,0,0
"27900408","2022-08-12",0,"Non-University","Male",65,1,5,0,NA,NA,0,0,0,0,0,0,0,0,0
"27900412","2022-06-07",0,"University","Female",27,1,5,0,2,NA,0,0,0,0,0,0,0,0,0
"27900414","2022-05-28",0,"University","Male",56,3,4,0,3,NA,0,0,0,0,0,0,0,1,0
"27900415","2022-06-07",0,"University","Female",30,1,4,0,NA,NA,0,0,0,0,0,0,0,1,0
"27900417","2022-06-13",0,"University","Female",32,2,1,0,3,NA,0,0,0,0,0,0,0,1,0
"27900419","2022-08-12",0,"Non-University","Male",65,3,5,1,3,NA,0,0,0,0,0,0,0,1,1
"27900422","2022-06-01",0,"University","Male",37,2,5,1,2,NA,0,0,0,0,0,0,0,1,0
"27900424","2022-08-12",0,"Non-University","Female",72,2,4,1,3,NA,0,0,NA,0,NA,1,1,NA,1
"27900425","2022-08-12",0,"Non-University","Female",19,2,3,0,3,NA,0,0,0,0,1,0,0,1,0
"27900426","2022-06-04",0,"Non-University","Male",28,1,5,1,1,NA,0,0,0,0,0,0,0,0,0
"27900427","2022-05-26",0,"Non-University","Female",52,3,10,1,3,NA,1,0,0,0,0,0,0,0,0
"27900428","2022-08-12",0,"Non-University","Female",45,3,4,1,3,NA,0,0,0,0,0,0,1,1,0
"27900435","2022-06-18",0,"Non-University","Male",86,1,5,0,NA,NA,0,0,0,0,0,0,0,0,0
"27900437","2022-05-31",0,"University","Female",86,3,4,0,3,NA,1,0,1,0,1,1,1,1,0
"27900448","2022-08-12",0,"Non-University","Female",66,1,3,1,NA,NA,0,0,0,0,0,0,0,0,0
"27900454","2022-08-12",0,"University","Female",85,3,4,0,3,NA,0,0,0,1,1,NA,NA,NA,0
"27900461","2022-08-12",0,"Non-University","Female",67,3,0,1,3,1,0,0,0,0,1,1,1,1,1
"27900463","2022-09-30",0,"University","Male",57,3,5,1,3,NA,0,0,0,0,0,0,0,0,0
"27900480","2022-06-03",0,"University","Male",48,3,6,0,3,NA,0,0,1,0,1,1,1,1,0
"27900495","2022-09-30",0,"Non-University","Male",78,3,4,0,3,NA,0,0,1,0,1,0,1,1,1
"27900496","2022-09-30",0,"University","Male",44,3,5,1,2,NA,0,0,0,0,0,1,1,1,1
"27900497","2022-08-12",0,"University","Male",42,3,1,1,3,1,0,0,1,0,1,1,1,1,0
